hhcode,sec,fortnightly,food,s12bq03,s12bq04,s12bq05,s12bq06,s12bq07,s12bq08,Totalincome,Region,Province,hhsize,Real_income,,
10012400110,BSB,14558,378508,8586,103032,10670,128040,229000,229000,838580,urban,Punjab,5,263704.4025,,
10012400111,BSB,8714,226564,10573,126876,9130,109560,580930,580930,1043930,urban,Punjab,7,328279.8742,,
10012400112,BSB,4107,106782,7855,94260,15900,190800,356500,356500,748342,urban,Punjab,6,235327.673,,
10013100101,BSB,8829,229554,11787,141444,4610,55320,75642,75642,501960,urban,Punjab,8,157849.0566,,
10013100102,BSB,4225,109850,6402,76824,6850,82200,110350,110350,379224,urban,Punjab,3,119252.8302,,
10013100103,BSB,2259,58734,2009,24108,1100,13200,25600,25600,121642,urban,Punjab,5,38252.20126,,
10013100104,BSB,605,15730,944,11328,625,7500,850,850,35408,urban,Punjab,1,11134.59119,,
10013100105,BSB,24309,632034,34183,410196,41250,495000,294700,294700,1831930,urban,Punjab,9,576078.6164,,
10013100106,BSB,2230,57980,3608,43296,1550,18600,16990,16990,136866,urban,Punjab,4,43039.62264,,
10013100107,BSB,9398,244348,26654,319848,23750,285000,281692,281692,1130888,urban,Punjab,6,355625.1572,,
10013100108,BSB,2161,56186,3047,36564,3450,41400,50450,50450,184600,urban,Punjab,3,58050.31447,,
10013100109,BSB,2759,71734,3053,36636,2700,32400,30100,30100,170870,urban,Punjab,8,53732.7044,,
10013100110,BSB,5441,141466,9990,119880,12300,147600,277011,277011,685957,urban,Punjab,6,215709.7484,,
10013100111,BSB,12284,319384,15000,180000,17500,210000,263350,263350,972734,urban,Punjab,5,305891.195,,
10013200101,BSB,9950,258700,17117,205404,20800,249600,46000,46000,759704,urban,Punjab,6,238900.6289,,
10013200102,BSB,8172,212472,7198,86376,10800,129600,171150,171150,599598,urban,Punjab,5,188552.8302,,
10013200103,BSB,4197,109122,7082,84984,10160,121920,148400,148400,464426,urban,Punjab,5,146045.9119,,
10013200104,BSB,9876,256776,6582,78984,16750,201000,280000,280000,816760,urban,Punjab,5,256842.7673,,
10013200105,BSB,2152,55952,6775,81300,5200,62400,66980,66980,266632,urban,Punjab,6,83846.54088,,
10013200106,BSB,2492,64792,5875,70500,2650,31800,35100,35100,202192,urban,Punjab,6,63582.38994,,
10013200107,BSB,4238,110188,7690,92280,3500,42000,33500,33500,277968,urban,Punjab,9,87411.32075,,
10013200108,BSB,3637,94562,4000,48000,8250,99000,57250,57250,298812,urban,Punjab,3,93966.03774,,
10013200109,BSB,3520,91520,5752,69024,4850,58200,24100,24100,242844,urban,Punjab,6,76366.03774,,
10013200110,BSB,4793,124618,7977,95724,4650,55800,107500,107500,383642,urban,Punjab,5,120642.1384,,
10013200111,BSB,3872,100672,7065,84780,3200,38400,38750,38750,262602,urban,Punjab,6,82579.24528,,
10013200112,BSB,2543,66118,3965,47580,1650,19800,13060,13060,146558,urban,Punjab,3,46087.42138,,
10013300101,BSB,6508,169208,7734,92808,6300,75600,86760,86760,424376,urban,Punjab,4,133451.5723,,
10013300102,BSB,6827,177502,14529,174348,6100,73200,620150,620150,1045200,urban,Punjab,6,328679.2453,,
10013300103,BSB,4944,128544,6443,77316,4375,52500,307870,307870,566230,urban,Punjab,7,178059.7484,,
10013300104,BSB,9481,246506,11121,133452,6750,81000,145560,145560,606518,urban,Punjab,5,190728.9308,,
10013300105,BSB,5748,149448,7702,92424,6550,78600,434660,434660,755132,urban,Punjab,4,237462.8931,,
10013300106,BSB,5751,149526,8573,102876,10227,122724,28060,28060,403186,urban,Punjab,4,126788.0503,,
10013300107,BSB,10692,277992,9976,119712,4650,55800,219550,219550,673054,urban,Punjab,11,211652.2013,,
10013300108,BSB,8378,217828,8153,97836,7300,87600,129760,129760,533024,urban,Punjab,3,167617.6101,,
10013300110,BSB,4818,125268,6943,83316,5100,61200,82820,82820,352604,urban,Punjab,6,110881.761,,
10013300111,BSB,9081,236106,9682,116184,7950,95400,127570,127570,575260,urban,Punjab,9,180899.3711,,
10013300112,BSB,5103,132678,8214,98568,10750,129000,126460,126460,486706,urban,Punjab,4,153052.2013,,
10013400102,BSB,3296,85696,9480,113760,7000,84000,260370,260370,543826,urban,Punjab,4,171014.4654,,
10013400103,BSB,4748,123448,8460,101520,9200,110400,65520,65520,400888,urban,Punjab,5,126065.4088,,
10013400104,BSB,6095,158470,8686,104232,10800,129600,81050,81050,473352,urban,Punjab,10,148852.8302,,
10013400105,BSB,7590,197340,8890,106680,7750,93000,271100,271100,668120,urban,Punjab,7,210100.6289,,
10013400106,BSB,4720,122720,6860,82320,5300,63600,239420,239420,508060,urban,Punjab,3,159767.2956,,
10013400107,BSB,2087,54262,4280,51360,2250,27000,37900,37900,170522,urban,Punjab,3,53623.27044,,
10013400108,BSB,2334,60684,6127,73524,1750,21000,135570,135570,290778,urban,Punjab,7,91439.62264,,
10013400109,BSB,2269,58994,5490,65880,2550,30600,236450,236450,391924,urban,Punjab,5,123246.5409,,
10013400110,BSB,4276,111176,6208,74496,6800,81600,363110,363110,630382,urban,Punjab,7,198233.3333,,
10013400111,BSB,3941,102466,5003,60036,9050,108600,141900,141900,413002,urban,Punjab,4,129874.8428,,
10013400112,BSB,3247,84422,5559,66708,2500,30000,279700,279700,460830,urban,Punjab,5,144915.0943,,
10020100101,BSB,3383,87958,7982,95784,2200,26400,142950,142950,353092,rural,Punjab,8,111035.2201,,
10020100102,BSB,1833,47658,8573,102876,1700,20400,17965,17965,188899,rural,Punjab,6,59402.20126,,
10020100103,BSB,2575,66950,3397,40764,2300,27600,14050,14050,149364,rural,Punjab,5,46969.81132,,
10020100104,BSB,1439,37414,5193,62316,1600,19200,4500,4500,123430,rural,Punjab,8,38814.46541,,
10020100105,BSB,6345,164970,6180,74160,6160,73920,102500,102500,415550,rural,Punjab,9,130676.1006,,
10020100106,BSB,2149,55874,5430,65160,1600,19200,15400,15400,155634,rural,Punjab,6,48941.50943,,
10020100107,BSB,1325,34450,2580,30960,1200,14400,3550,3550,83360,rural,Punjab,5,26213.83648,,
10020100108,BSB,1347,35022,6553,78636,2050,24600,20400,20400,158658,rural,Punjab,7,49892.45283,,
10020100109,BSB,1415,36790,3567,42804,6700,80400,21200,21200,181194,rural,Punjab,5,56979.24528,,
10020100110,BSB,1860,48360,5224,62688,1760,21120,39170,39170,171338,rural,Punjab,6,53879.87421,,
10020100111,BSB,3567,92742,11390,136680,9400,112800,63100,63100,405322,rural,Punjab,12,127459.7484,,
10020100112,BSB,2539,66014,7860,94320,5850,70200,34380,34380,264914,rural,Punjab,4,83306.28931,,
10020100113,BSB,2120,55120,5560,66720,2880,34560,44810,44810,201210,rural,Punjab,3,63273.58491,,
10020100114,BSB,2534,65884,5217,62604,1740,20880,27700,27700,177068,rural,Punjab,5,55681.76101,,
10020100115,BSB,1337,34762,4082,48984,3100,37200,41200,41200,162146,rural,Punjab,5,50989.30818,,
10020100116,BSB,2356,61256,5000,60000,2710,32520,70400,70400,224176,rural,Punjab,7,70495.59748,,
10020100201,BSB,4875,126750,9070,108840,2200,26400,43050,43050,305040,rural,Punjab,10,95924.5283,,
10020100202,BSB,2442,63492,7260,87120,3500,42000,50150,50150,242762,rural,Punjab,4,76340.25157,,
10020100203,BSB,2160,56160,8290,99480,1200,14400,22570,22570,192610,rural,Punjab,9,60569.18239,,
10020100204,BSB,2205,57330,2110,25320,1900,22800,63900,63900,169350,rural,Punjab,4,53254.71698,,
10020100205,BSB,2250,58500,5120,61440,1460,17520,16260,16260,153720,rural,Punjab,6,48339.62264,,
10020100206,BSB,4623,120198,6000,72000,4000,48000,31750,31750,271948,rural,Punjab,4,85518.23899,,
10020100207,BSB,1902,49452,3095,37140,1300,15600,15850,15850,118042,rural,Punjab,6,37120.12579,,
10020100208,BSB,5682,147732,10990,131880,7550,90600,52840,52840,423052,rural,Punjab,9,133035.2201,,
10020100209,BSB,3102,80652,10660,127920,5900,70800,88200,88200,367572,rural,Punjab,10,115588.6792,,
10020100210,BSB,5031,130806,16792,201504,850,10200,61340,61340,403850,rural,Punjab,11,126996.8553,,
10020100211,BSB,3430,89180,6995,83940,1100,13200,24600,24600,210920,rural,Punjab,5,66327.04403,,
10020100212,BSB,1930,50180,3130,37560,485,5820,5750,5750,99310,rural,Punjab,3,31229.55975,,
10020100214,BSB,1816,47216,8690,104280,1870,22440,20750,20750,194686,rural,Punjab,13,61222.01258,,
10020100215,BSB,3568,92768,8130,97560,2575,30900,26650,26650,247878,rural,Punjab,12,77949.0566,,
10020100216,BSB,1105,28730,2655,31860,275,3300,24550,24550,88440,rural,Punjab,6,27811.32075,,
10020200101,BSB,1572,40872,5055,60660,5900,70800,33450,33450,205782,rural,Punjab,5,64711.32075,,
10020200102,BSB,3122,81172,11550,138600,5700,68400,27200,27200,315372,rural,Punjab,10,99173.58491,,
10020200103,BSB,3600,93600,7270,87240,2150,25800,123630,123630,330270,rural,Punjab,6,103858.4906,,
10020200104,BSB,964,25064,1925,23100,850,10200,21350,21350,79714,rural,Punjab,2,25067.2956,,
10020200105,BSB,4188,108888,5785,69420,4000,48000,57550,57550,283858,rural,Punjab,8,89263.52201,,
10020200106,BSB,3896,101296,10485,125820,5750,69000,163750,163750,459866,rural,Punjab,11,144611.9497,,
10020200107,BSB,548,14248,450,5400,0,0,0,0,19648,rural,Punjab,1,6178.616352,,
10020200108,BSB,1990,51740,3941,47292,8200,98400,7000,7000,204432,rural,Punjab,7,64286.79245,,
10020200109,BSB,5672,147472,10660,127920,7300,87600,247800,247800,610792,rural,Punjab,11,192072.956,,
10020200110,BSB,2840,73840,6360,76320,9000,108000,41800,41800,299960,rural,Punjab,8,94327.04403,,
10020200111,BSB,1643,42718,4420,53040,2800,33600,6800,6800,136158,rural,Punjab,5,42816.98113,,
10020200112,BSB,3485,90610,4510,54120,2460,29520,7470,7470,181720,rural,Punjab,7,57144.65409,,
10020200113,BSB,3975,103350,7680,92160,2650,31800,46550,46550,273860,rural,Punjab,15,86119.49686,,
10020200114,BSB,2687,69862,3231,38772,4780,57360,45500,45500,211494,rural,Punjab,7,66507.54717,,
10020200115,BSB,1943,50518,5800,69600,1300,15600,19720,19720,155438,rural,Punjab,7,48879.87421,,
10020200116,BSB,3107,80782,8640,103680,3775,45300,36020,36020,265782,rural,Punjab,8,83579.24528,,
10020200201,BSB,3039,79014,5681,68172,1550,18600,31670,31670,197456,rural,Punjab,6,62093.08176,,
10020200202,BSB,1711,44486,5315,63780,1500,18000,23950,23950,150216,rural,Punjab,7,47237.73585,,
10020200203,BSB,4328,112528,9229,110748,7740,92880,49700,49700,365856,rural,Punjab,12,115049.0566,,
10020200204,BSB,1985,51610,4388,52656,610,7320,14650,14650,126236,rural,Punjab,5,39696.85535,,
10020200205,BSB,1900,49400,6735,80820,3250,39000,106900,106900,276120,rural,Punjab,8,86830.18868,,
10020200206,BSB,1388,36088,4387,52644,900,10800,8910,8910,108442,rural,Punjab,9,34101.25786,,
10020200207,BSB,761,19786,3115,37380,700,8400,2100,2100,67666,rural,Punjab,6,21278.61635,,
10020200208,BSB,2620,68120,7151,85812,3100,37200,23900,23900,215032,rural,Punjab,6,67620.12579,,
10020200209,BSB,3070,79820,3725,44700,1100,13200,13600,13600,151320,rural,Punjab,5,47584.90566,,
10020200210,BSB,1397,36322,3892,46704,950,11400,16800,16800,111226,rural,Punjab,6,34976.72956,,
